country,access_electricity_pct,low_carbon_elec_pct,gdp_per_capita_usd,transition_score,clean_access_ratio,fossil_lock_in,score_2000,score_2019,score_change,improvement_rate,cluster,cluster_name
Eritrea,50.936993,2.2727273,,28.8,1.16,,12.37,28.8,16.43,0.865,3,Pobreza energética
Estonia,100.0,28.120895,23397.12001,61.71,28.12,44.11,42.86,61.71,18.85,0.992,0,Emergentes fósiles
Eswatini,76.86944,94.3662,3915.643467,78.2,72.54,19.74,56.38,78.2,21.82,1.148,2,Transición renovable
Ethiopia,48.06359,99.929726,855.7608852,66.63,48.03,26.77,47.6,66.63,19.03,1.002,3,Pobreza energética
Fiji,99.71588,62.83186,6175.890653,72.49,62.65,28.05,65.05,72.49,7.44,0.392,2,Transición renovable
Finland,100.0,81.52969,48628.64176,88.36,81.53,19.26,78.76,88.36,9.6,0.505,1,Desarrollados alto consumo
France,100.0,90.54302,40578.64429,91.77,90.54,12.27,89.63,91.77,2.14,0.113,1,Desarrollados alto consumo
Gabon,90.726295,44.690266,7766.996554,62.44,40.55,42.53,63.07,62.44,-0.63,-0.033,2,Transición renovable
Gambia,62.1,0.0,,31.13,0.0,,22.79,31.13,8.34,0.439,3,Pobreza energética
Georgia,100.0,76.98276,4697.983652,77.96,76.98,25.51,72.61,77.96,5.35,0.282,2,Transición renovable
Germany,100.0,52.611385,46794.89929,75.21,52.61,27.97,65.22,75.21,9.99,0.526,1,Desarrollados alto consumo
Ghana,83.5,43.858597,2246.625578,55.47,36.62,40.75,57.42,55.47,-1.95,-0.103,2,Transición renovable
Greece,100.0,33.14121,19133.75776,63.25,33.14,39.54,50.17,63.25,13.08,0.688,0,Emergentes fósiles
Grenada,93.120964,0.0,10827.43529,44.24,0.0,55.68,39.4,44.24,4.84,0.255,0,Emergentes fósiles
Guatemala,95.742004,60.101376,4638.634943,69.04,57.54,33.89,55.42,69.04,13.62,0.717,2,Transición renovable
